person_id,age,juv_fel_count,juv_misd_count,juv_other_count,"priors_count
",sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,"is_violent_recid
"
116,24.0,0.0,1.0,2.0,8.0,Male,Caucasian,(F3),False Ownership Info/Pawn Item,2,(F2),Poss Wep Conv Felon,,,,1,"0
"
5,41.0,0.0,0.0,0.0,14.0,Male,Caucasian,(F3),Possession Burglary Tools,3,(F2),Poss of Firearm by Convic Felo,,,,1,"0
"
72,22.0,0.0,0.0,1.0,1.0,Male,African-American,(F3),Poss Firearm W/Altered ID#,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,"0
"
32,26.0,0.0,0.0,1.0,5.0,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,"0
"
99,22.0,1.0,0.0,0.0,2.0,Male,African-American,(F3),Attempted Burg/struct/unocc,2,(M1),Resist/Obstruct W/O Violence,,,,1,"0
"
34,32.0,0.0,0.0,0.0,4.0,Male,African-American,(F3),Att Tamper w/Physical Evidence,5,(M1),Resist/Obstruct W/O Violence,,,,1,"0
"
139,56.0,0.0,0.0,0.0,8.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,"0
"
89,51.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,"0
"
125,20.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,"0
"
124,27.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Driving While License Revoked,,,,,,,0,"0
"
114,30.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Fail To Redeliv Hire/Leas Prop,,,,,,,0,"0
"
93,32.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Felony Battery (Dom Strang),,,,,,,0,"0
"
83,34.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),False Imprisonment,,,,,,,0,"0
"
130,37.0,0.0,0.0,0.0,3.0,Male,African-American,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,"0
"
17,25.0,0.0,0.0,0.0,3.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,,,,,,,0,"0
"
3,23.0,0.0,1.0,0.0,1.0,Male,African-American,(F3),Possession of Cannabis,,,,,,,0,"0
"
38,38.0,0.0,0.0,2.0,5.0,Male,African-American,(F3),Burglary Structure Assault/Batt,,,,,,,0,"0
"
135,26.0,0.0,0.0,0.0,9.0,Male,African-American,(F3),Felony Driving While Lic Suspd,,,,,,,0,"0
"
61,27.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Felony Driving While Lic Suspd,,,,,,,0,"0
"
75,29.0,0.0,0.0,0.0,4.0,Male,African-American,(F3),arrest case no charge,4,(F3),Aggrav Stalking After Injunctn,,,,1,"0
"
20,64.0,0.0,0.0,0.0,13.0,Male,African-American,(F3),arrest case no charge,1,(F2),Poss Cocaine/Intent To Del/Sel,,,,1,"0
"
97,50.0,0.0,0.0,0.0,0.0,Male,Other,(F3),arrest case no charge,1,(M2),Susp Drivers Lic 1st Offense,,,,1,"0
"
133,33.0,0.0,12.0,2.0,28.0,Male,African-American,(F3),Driving While License Revoked,1,(M2),Operating W/O Valid License,,,,1,"0
"
144,42.0,0.0,0.0,0.0,6.0,Male,Caucasian,(F3),Possession Of Alprazolam,,,,,,,0,"0
"
8,20.0,0.0,0.0,1.0,0.0,Male,Caucasian,(F3),Possession Of Alprazolam,,,,,,,0,"0
"
106,30.0,0.0,0.0,1.0,6.0,Male,Caucasian,(F3),Burglary Conveyance Unoccup,,,,,,,0,"0
"
96,22.0,0.0,0.0,0.0,3.0,Male,Caucasian,(F3),Burglary Conveyance Unoccup,,,,,,,0,"0
"
57,25.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,"0
"
46,28.0,0.0,0.0,0.0,8.0,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,"0
"
122,43.0,0.0,0.0,0.0,1.0,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,"0
"
127,34.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Aggravated Assault w/Firearm,,,,,,,0,"0
"
117,30.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Possession Of Methamphetamine,,,,,,,0,"0
"
11,27.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Poss 3;4 MDMA (Ecstasy),,,,,,,0,"0
"
62,32.0,0.0,0.0,0.0,3.0,Male,Caucasian,(F3),Tampering With Physical Evidence,,,,,,,0,"0
"
120,35.0,0.0,0.0,0.0,7.0,Male,Caucasian,(F3),Felony Driving While Lic Suspd,,,,,,,0,"0
"
39,53.0,0.0,0.0,0.0,19.0,Male,Caucasian,(F3),Fel Drive License Perm Revoke,,,,,,,0,"0
"
110,39.0,0.0,0.0,0.0,2.0,Male,Caucasian,(F3),Possession Of Alprazolam,1,(F3),Possession of Hydromorphone,,,,1,"0
"
131,42.0,0.0,0.0,0.0,1.0,Male,Caucasian,(F3),Aggrav Stalking After Injunctn,1,(F3),Aggrav Stalking After Injunctn,,,,1,"0
"
87,27.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),arrest case no charge,1,(F3),Pos Cannabis W/Intent Sel/Del,,,,1,"0
"
143,22.0,0.0,0.0,0.0,4.0,Male,Caucasian,(F3),Possession Of Alprazolam,1,(M2),Petit Theft,,,,1,"0
"
141,33.0,0.0,0.0,0.0,19.0,Male,African-American,(F3),arrest case no charge,1,(M2),Petit Theft,,,,1,"0
"
21,21.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Battery on Law Enforc Officer,1,(M2),Prowling/Loitering,,,,1,"0
"
23,24.0,0.0,0.0,0.0,2.0,Male,African-American,(F3),Poss Pyrrolidinovalerophenone,2,(M2),Petit Theft,,,,1,"0
"
86,29.0,0.0,0.0,0.0,5.0,Male,African-American,(F3),False Name By Person Arrest,2,(M2),Operating W/O Valid License,,,,1,"0
"
74,22.0,0.0,1.0,2.0,2.0,Male,African-American,(F3),Sell Conterfeit Cont Substance,2,(M2),Susp Drivers Lic 1st Offense,,,,1,"0
"
100,23.0,0.0,0.0,1.0,2.0,Male,African-American,(M2),arrest case no charge,2,(M2),Leave Acc/Attend Veh/More $50,,,,1,"0
"
53,34.0,0.0,0.0,0.0,4.0,Male,African-American,(M2),Driving License Suspended,1,(M2),DWLS Canceled Disqul 1st Off,,,,1,"0
"
67,63.0,0.0,0.0,0.0,10.0,Male,African-American,(M1),Possess Drug Paraphernalia,1,(M2),Petit Theft,,,,1,"0
"
77,27.0,0.0,1.0,0.0,6.0,Male,African-American,(F2),Aggravated Battery / Pregnant,1,(F3),Possession of Cocaine,,,,1,"0
"
90,22.0,0.0,0.0,0.0,1.0,Male,African-American,(M1),Battery,2,(M2),Driving License Suspended,,,,1,"0
"
12,23.0,0.0,0.0,0.0,3.0,Male,African-American,(M1),Battery,1,(M2),Driving License Suspended,,,,1,"0
"
70,38.0,0.0,0.0,0.0,4.0,Male,Caucasian,(M1),Battery,2,(M2),Susp Drivers Lic 1st Offense,,,,1,"0
"
126,38.0,0.0,0.0,0.0,5.0,Male,Caucasian,(M1),Possess Cannabis/20 Grams Or Less,2,(F3),Possession of Cannabis,,,,1,"0
"
41,33.0,0.0,0.0,0.0,4.0,Female,Caucasian,(M1),Battery,1,(F3),Grand Theft in the 3rd Degree,,,,1,"0
"
15,47.0,0.0,0.0,0.0,1.0,Female,Caucasian,(F3),arrest case no charge,2,(F3),Grand Theft (Motor Vehicle),,,,1,"0
"
